107,107
221,221
161,161
159,159
-46,-46
190,190
164,164
170,170
117,117
112,112
-69,-69
46,46
29,34
195,195
-68,-68
-21,-21
220,220
207,207
138,138
141,141
100,100
124,124
186,186
153,153
-4,-4
12,17
168,168
-44,-44
155,155
199,199
-14,-14
198,198
116,116
-64,-64
144,144
212,212
-70,-70
209,209
72,72
94,94
-9,-9
-55,-55
150,150
115,115
129,129
-72,-72
167,167
25,30
43,43
-60,-60
33,38
30,35
-26,-26
-58,-58
-74,-74
119,119
-25,-25
-1,-1
206,206
91,91
176,176
59,59
-5,-5
15,20
-49,-49
123,123
78,78
-6,-6
65,65
71,71
182,182
-7,-7
47,47
118,118
81,81
-8,-8
169,169
-18,-18
38,39
-45,-45
-43,-43
75,75
88,88
208,208
103,103
-42,-42
128,128
147,147
26,31
-51,-51
-40,-40
-24,-24
60,60
86,86
203,203
80,80
28,33
21,26
27,32
197,197
114,114
-52,-52
165,165
156,156
-78,-78
-56,-56
185,185
2,2
40,40
-53,-53
172,172
77,77
126,126
189,189
125,125
73,73
200,200
67,67
187,187
-11,-11
-23,-23
13,18
22,27
-17,-17
5,10
-31,-31
-13,-13
20,25
-41,-41
183,183
10,15
-29,-29
-66,-66
-3,-3
191,191
-33,-33
48,48
63,63
-22,-22
-54,-54
140,140
62,62
-57,-57
82,82
89,89
143,143
210,210
11,16
-27,-27
68,68
-62,-62
-50,-50
83,83
35,38
-75,-75
64,64
-10,-10
-34,-34
192,192
160,160
85,85
166,166
130,130
142,142
98,98
96,96
213,213
50,50
154,154
151,151
36,39
219,219
17,22
102,102
110,110
101,101
55,55
-63,-63
193,193
158,158
-71,-71
171,171
145,145
104,104
139,139
92,92
177,177
-37,-37
131,131
99,99
-28,-28
-59,-59
-35,-35
3,3
3,4
39,40
42,42
152,152
14,19
211,211
54,54
16,21
201,201
-79,-79
23,28
19,24
121,121
32,37
180,180
41,41
24,29
127,127
122,122
34,38
-20,-20
58,58
-80,-80
148,148
113,113
-15,-15
18,23
61,61
-65,-65
0,0
-77,-77
120,120
-38,-38
136,136
-73,-73
215,215
-47,-47
93,93
184,184
76,76
95,95
57,57
196,196
-30,-30
-2,-2
218,218
44,44
108,108
51,51
69,69
-39,-39
111,111
97,97
149,149
-36,-36
70,70
181,181
4,6
9,14
4,7
4,5
137,137
-19,-19
37,39
-48,-48
52,52
194,194
175,175
173,173
179,179
105,105
109,109
66,66
6,11
202,202
162,162
146,146
74,74
4,9
1,1
4,8
214,214
188,188
178,178
-12,-12
90,90
-32,-32
45,45
222,222
7,12
-67,-67
-61,-61
205,205
174,174
-16,-16
79,79
84,84
53,53
157,157
163,163
56,56
106,106
-76,-76
204,204
8,13
216,216
135,135
87,87
132,132
31,36
217,217
133,133
49,49
134,134
